,Episode,Mean,Stddev
0,   0.00000,  -0.04445,   1.22306
1,   1.00000,  -0.52070,   1.64226
2,   2.00000,   0.28466,   1.84574
3,   3.00000,   0.62699,   1.45847
4,   4.00000,  -0.24008,   1.07471
5,   5.00000,   0.56530,   1.24764
6,   6.00000,   0.14608,   1.30761
7,   7.00000,   0.68135,   0.97010
8,   8.00000,   0.05869,   1.55442
9,   9.00000,   0.05280,   1.63523
10,  10.00000,   0.46120,   1.11928
11,  11.00000,   0.43038,   0.87811
12,  12.00000,   0.40534,   1.69320
13,  13.00000,  -0.30470,   1.44739
14,  14.00000,  -0.06668,   1.56313
15,  15.00000,   1.08549,   0.98895
16,  16.00000,   0.12823,   0.90155
17,  17.00000,   0.18435,   1.02351
18,  18.00000,   0.64667,   0.72607
19,  19.00000,   0.69397,   1.22694
20,  20.00000,   0.01696,   1.69997
21,  21.00000,   0.30759,   1.40612
22,  22.00000,   0.63088,   1.15735
23,  23.00000,   0.07923,   0.91882
24,  24.00000,   0.18686,   1.11353
25,  25.00000,   0.13967,   1.67948
26,  26.00000,   0.42922,   1.25298
27,  27.00000,   0.05546,   1.14690
28,  28.00000,   0.07189,   1.47551
29,  29.00000,   0.45877,   1.07221
30,  30.00000,  -0.21015,   1.83783
31,  31.00000,   0.34344,   1.31193
32,  32.00000,   0.65253,   1.32973
33,  33.00000,  -0.28146,   1.38496
34,  34.00000,   0.33122,   1.11207
35,  35.00000,   0.47708,   1.03934
36,  36.00000,  -0.05246,   0.94664
37,  37.00000,   0.20827,   1.25869
38,  38.00000,   0.34921,   1.10308
39,  39.00000,   0.03299,   1.87198
40,  40.00000,   1.22341,   1.82282
41,  41.00000,   0.30532,   1.43931
42,  42.00000,   0.38273,   1.71469
43,  43.00000,   0.24138,   1.28540
44,  44.00000,  -1.25468,   0.96224
45,  45.00000,  -0.06192,   1.57108
46,  46.00000,   0.53342,   1.28628
47,  47.00000,   0.38696,   1.71813
48,  48.00000,  -0.23983,   1.25894
49,  49.00000,  -0.68594,   1.36366
50,  50.00000,  -0.61703,   0.97389
51,  51.00000,   1.17860,   1.33015
