,Episode,Mean,Stddev
0,   0.00000,   0.08098,   0.10100
1,   1.00000,   0.08945,   1.21136
2,   2.00000,  -0.52508,   2.48519
3,   3.00000,   0.38373,   0.06897
4,   4.00000,   1.60425,   1.19507
5,   5.00000,   0.20484,   1.12071
6,   6.00000,  -0.34089,   1.86924
7,   7.00000,   0.89076,   0.72495
8,   8.00000,   0.74311,   1.38882
9,   9.00000,  -0.94607,   1.84421
10,  10.00000,   1.57304,   1.19243
11,  11.00000,  -0.34290,   0.76967
12,  12.00000,  -0.34218,   1.83748
13,  13.00000,  -0.50621,   1.34322
14,  14.00000,   0.27865,   0.05107
15,  15.00000,   0.28854,   1.14554
16,  16.00000,   0.61589,   1.78153
17,  17.00000,   1.55155,   1.23829
18,  18.00000,   1.19524,   0.70084
19,  19.00000,   1.02099,   1.85918
20,  20.00000,  -0.79631,   1.88461
21,  21.00000,  -0.34648,   1.83794
22,  22.00000,   0.21368,   1.25560
23,  23.00000,  -0.90064,   1.87960
24,  24.00000,   1.22753,   1.89541
25,  25.00000,  -1.69562,   0.63813
26,  26.00000,   0.28109,   2.46962
27,  27.00000,  -0.43443,   0.74458
28,  28.00000,   0.57855,   0.71467
29,  29.00000,   0.13935,   1.13794
30,  30.00000,   1.27935,   1.41814
31,  31.00000,   0.09926,   0.05200
32,  32.00000,   1.70316,   1.23483
33,  33.00000,  -0.15707,   0.77630
34,  34.00000,   0.00484,   1.22459
35,  35.00000,  -0.31272,   1.79423
36,  36.00000,  -0.75158,   0.73697
37,  37.00000,  -0.43744,   0.71261
38,  38.00000,  -2.42479,   0.71212
39,  39.00000,  -0.91414,   0.70973
40,  40.00000,   0.28605,   1.16991
41,  41.00000,  -0.50402,   0.71762
42,  42.00000,   0.58125,   1.37760
43,  43.00000,  -1.00710,   1.39661
44,  44.00000,   0.69997,   1.85316
45,  45.00000,   0.56304,   1.37875
46,  46.00000,   1.76403,   2.09605
47,  47.00000,   0.62531,   0.67406
48,  48.00000,   0.03307,   2.05089
49,  49.00000,   2.49312,   0.66950
50,  50.00000,   0.33289,   1.23579
51,  51.00000,  -2.85399,   0.02803
52,  52.00000,   0.79151,   1.40819
53,  53.00000,   1.92594,   0.63293
54,  54.00000,   0.59928,   0.68268
55,  55.00000,  -0.00056,   1.12935
56,  56.00000,   0.84124,   1.89430
57,  57.00000,   1.03255,   1.86050
58,  58.00000,   0.96914,   1.80689
59,  59.00000,   0.37576,   1.33133
60,  60.00000,   0.02051,   2.07968
61,  61.00000,   1.69052,   1.13589
62,  62.00000,   0.73363,   1.86207
63,  63.00000,   1.54476,   1.30810
64,  64.00000,  -0.96180,   0.71778
65,  65.00000,   1.48036,   1.15044
66,  66.00000,  -0.22890,   1.37160
67,  67.00000,   1.21902,   0.76155
68,  68.00000,   0.20728,   1.17557
69,  69.00000,   0.74019,   0.72215
70,  70.00000,   0.17391,   2.08820
71,  71.00000,  -0.95852,   0.67929
72,  72.00000,   0.25142,   0.06531
73,  73.00000,   1.14417,   0.72865
74,  74.00000,  -0.27373,   0.69843
75,  75.00000,  -1.99886,   0.68696
76,  76.00000,   0.55837,   0.70289
77,  77.00000,   1.30443,   0.66075
78,  78.00000,   1.29667,   0.69394
79,  79.00000,  -0.41223,   1.85425
80,  80.00000,   0.81566,   0.73703
81,  81.00000,   0.46893,   1.33980
82,  82.00000,  -0.76314,   1.84448
83,  83.00000,  -0.38800,   0.62679
84,  84.00000,   0.12756,   1.22896
85,  85.00000,   0.25567,   1.25955
86,  86.00000,   0.99366,   0.67176
87,  87.00000,   0.73634,   1.38169
88,  88.00000,  -1.28697,   0.08064
89,  89.00000,  -0.55788,   0.65692
90,  90.00000,   0.49859,   0.65226
91,  91.00000,   0.83516,   1.41049
92,  92.00000,   0.77829,   0.69247
93,  93.00000,   0.99588,   1.81328
94,  94.00000,  -0.72628,   1.77654
95,  95.00000,   0.52890,   0.69286
96,  96.00000,  -0.88841,   0.70907
97,  97.00000,   1.22482,   1.29775
98,  98.00000,  -0.18356,   1.42128
99,  99.00000,   0.15409,   0.07661
100, 100.00000,   0.71181,   0.63379
101, 101.00000,  -1.21583,   1.15406
102, 102.00000,   1.76958,   1.27330
103, 103.00000,   0.10240,   0.11750
104, 104.00000,   0.08541,   1.18790
105, 105.00000,  -1.58878,   0.59533
106, 106.00000,   0.99481,   0.65233
107, 107.00000,  -1.16797,   0.12001
108, 108.00000,   0.38970,   1.12982
109, 109.00000,   1.19190,   1.80087
110, 110.00000,  -0.89624,   0.69162
111, 111.00000,   0.54175,   0.67693
112, 112.00000,   0.99046,   0.71946
113, 113.00000,   1.27401,   1.86565
114, 114.00000,   0.15815,   0.11070
115, 115.00000,   0.57818,   1.42709
116, 116.00000,  -0.82145,   0.73201
117, 117.00000,  -0.82247,   0.74046
118, 118.00000,  -0.29922,   0.68666
119, 119.00000,  -0.33116,   0.74154
120, 120.00000,  -0.80275,   0.65510
121, 121.00000,  -0.31134,   1.40674
122, 122.00000,   0.62156,   0.74196
123, 123.00000,  -0.13518,   1.51258
124, 124.00000,   0.03593,   1.18787
125, 125.00000,  -0.73272,   1.39386
126, 126.00000,   0.02842,   1.20757
127, 127.00000,   0.05825,   1.16182
128, 128.00000,   0.17763,   1.15195
129, 129.00000,  -0.82281,   0.73281
130, 130.00000,   1.55507,   1.21513
131, 131.00000,   0.05502,   0.03897
132, 132.00000,   0.02717,   0.02717
133, 133.00000,  -0.65858,   0.67391
134, 134.00000,   0.19341,   0.07558
135, 135.00000,   1.22043,   1.87662
136, 136.00000,   1.48347,   1.20203
137, 137.00000,   0.69335,   0.65467
138, 138.00000,  -0.03866,   0.03472
139, 139.00000,  -0.95673,   0.63709
140, 140.00000,   0.10041,   0.01349
141, 141.00000,   1.53863,   1.18328
142, 142.00000,   1.13992,   1.44286
143, 143.00000,   0.10302,   1.18476
144, 144.00000,   1.93047,   0.68872
145, 145.00000,  -1.23278,   1.17436
146, 146.00000,   1.18959,   0.70016
147, 147.00000,   0.10056,   1.22360
148, 148.00000,   1.17249,   0.70640
149, 149.00000,  -1.38830,   1.22711
150, 150.00000,  -1.27396,   0.07125
151, 151.00000,  -0.05652,   0.03559
152, 152.00000,  -1.16829,   0.03979
153, 153.00000,  -0.69463,   0.71106
154, 154.00000,   0.75449,   1.44387
155, 155.00000,  -0.27935,   1.31916
156, 156.00000,  -0.28937,   0.68638
157, 157.00000,   1.01947,   0.72688
158, 158.00000,  -0.73579,   0.78121
159, 159.00000,   1.73862,   1.17244
160, 160.00000,   1.78389,   1.25050
161, 161.00000,  -0.21021,   1.90226
162, 162.00000,   0.44342,   1.00454
163, 163.00000,  -0.00446,   1.15799
164, 164.00000,  -0.67325,   1.34599
165, 165.00000,   0.07025,   0.02080
166, 166.00000,   1.12266,   0.63448
167, 167.00000,  -0.81334,   0.72792
168, 168.00000,   1.15568,   1.45816
169, 169.00000,   0.53855,   0.70897
170, 170.00000,   2.08448,   0.74231
171, 171.00000,   0.94853,   0.74653
172, 172.00000,  -0.50517,   1.40670
173, 173.00000,  -0.39144,   1.83334
174, 174.00000,  -1.24977,   1.21876
175, 175.00000,   1.97204,   0.62749
176, 176.00000,  -0.24727,   1.86668
177, 177.00000,   0.16161,   1.20203
178, 178.00000,   0.15435,   2.02248
179, 179.00000,  -0.33077,   0.61998
180, 180.00000,   1.60628,   1.22716
181, 181.00000,  -0.76661,   0.75404
182, 182.00000,   0.70232,   0.69692
183, 183.00000,   0.23054,   0.07327
184, 184.00000,   0.40724,   1.28085
185, 185.00000,  -0.93323,   0.71168
186, 186.00000,   0.60249,   0.74591
187, 187.00000,   0.54128,   0.69674
188, 188.00000,   0.44484,   1.30387
189, 189.00000,  -0.46259,   1.82765
190, 190.00000,  -1.52211,   0.63903
191, 191.00000,  -0.70963,   0.72535
192, 192.00000,   1.46652,   0.53562
193, 193.00000,  -0.95742,   1.40630
194, 194.00000,  -0.28321,   0.70071
195, 195.00000,  -0.90027,   1.81359
196, 196.00000,  -0.25463,   0.70458
197, 197.00000,  -0.86851,   1.37404
198, 198.00000,   0.07628,   1.20061
199, 199.00000,   1.00873,   1.43477
